traffic_source,views,watch_time_(hours),average_view_duration,impressions,impressions_click-through_rate_(%)
Total,8244,531.8714,00:03:53,71105.0,5.15
Browse features,2640,172.4421,00:03:55,27682.0,7.55
External,2243,121.3985,00:03:15,0.0,0.0
YouTube search,1229,81.4411,00:03:58,9249.0,11.55
Direct or unknown,989,84.7175,00:05:09,0.0,0.0
Channel pages,435,15.0603,00:02:04,7607.0,4.85
Other YouTube features,307,38.7141,00:07:33,0.0,0.0
Suggested videos,179,14.1568,00:04:44,26164.0,0.46
Shorts feed,167,0.4344,00:00:09,0.0,0.0
Playlists,26,2.4236,00:05:35,403.0,3.72
Notifications,20,0.4377,00:01:18,0.0,0.0
End screens,9,0.6454,00:04:18,0.0,0.0
