"name","requests"
"Ireland",45535
"Ethiopia",13488
"Japan",12820
"United States",9284
"Australia",5898
"France",4359
"Germany",2616
"Israel",567
"Netherlands",383
"Korea, Republic of",375
"United Kingdom",340
"Singapore",318
"Canada",235
"China",218
"Morocco",167
"Pakistan",162
"Kenya",117
"Russian Federation",117
"Poland",86
"South Africa",66
"United Arab Emirates",65
"Belgium",62
"Somalia",60
"Uganda",58
"Italy",58
"Thailand",56
"Sweden",48
"Brazil",35
"Ukraine",32
"Hong Kong",28
"Lithuania",24
"Finland",24
"Indonesia",22
"Moldova, Republic of",17
"Taiwan, Province of China",13
"Switzerland",12
"Albania",10
"Cambodia",8
"Hungary",6
"Malaysia",6
"Bangladesh",5
"Iran, Islamic Republic of",5
"Estonia",4
"Romania",4
"Bosnia and Herzegovina",4
"Bulgaria",4
"India",4
"Denmark",4
"Norway",3
"Philippines",3
"Georgia",2
"New Zealand",2
"Viet Nam",2
"Nigeria",2
"Slovenia",2
"Austria",2
"Algeria",1
"Spain",1
"Croatia",1
"Serbia",1
"Togo",1
"Türkiye",1
"Sri Lanka",1
"Latvia",1
"Maldives",1
