How do you rate your general experience?.Rating1,How much relevant information did you get?.Rating,How likely are you to recommend other trainees to join?.Rating,"In a single sentence, what did you like most about the training?","In a single sentence, what did you least like about the training?",What things you wish were added/ removed from the training?1,Attribute,Value
5,5,5,I liked the communication and networking aspect of things. I also enjoyed learning about technologies that I had never heard of before.,Probably trying to understand the complex parts of each technology in a short time.,Maybe more time to engage with the taught material.,General experience Sentiment,Positive
5,5,5,I liked the communication and networking aspect of things. I also enjoyed learning about technologies that I had never heard of before.,Probably trying to understand the complex parts of each technology in a short time.,Maybe more time to engage with the taught material.,How much relevant information did you get? Sentiment,Positive
5,5,5,I liked the communication and networking aspect of things. I also enjoyed learning about technologies that I had never heard of before.,Probably trying to understand the complex parts of each technology in a short time.,Maybe more time to engage with the taught material.,How likely are you to recommend other trainees to join? Sentiment,Positive
3,5,4,Is getting more than one option to decide for your career,Is the duration of each topic is very short,I wish it was more of beginners friendly and atleast the duration for each should be more,General experience Sentiment,Neutral
3,5,4,Is getting more than one option to decide for your career,Is the duration of each topic is very short,I wish it was more of beginners friendly and atleast the duration for each should be more,How much relevant information did you get? Sentiment,Positive
3,5,4,Is getting more than one option to decide for your career,Is the duration of each topic is very short,I wish it was more of beginners friendly and atleast the duration for each should be more,How likely are you to recommend other trainees to join? Sentiment,Positive
3,4,5,"Students eagerness to learn, the coordinator commitment",Punctuality problem,"Instead of giving different fild road map to similar students, it is better to meet trainee who focused on specific fild.",General experience Sentiment,Neutral
3,4,5,"Students eagerness to learn, the coordinator commitment",Punctuality problem,"Instead of giving different fild road map to similar students, it is better to meet trainee who focused on specific fild.",How much relevant information did you get? Sentiment,Positive
3,4,5,"Students eagerness to learn, the coordinator commitment",Punctuality problem,"Instead of giving different fild road map to similar students, it is better to meet trainee who focused on specific fild.",How likely are you to recommend other trainees to join? Sentiment,Positive
3,5,5,I liked how beginner friendly the content was.,I think we could have used some brief info into the topics that will be discussed in the meetings so that we could have prepared better and have more questions to ask.,It would have been great to have our cameras on. And it would have been better if the presentations were given in full screen mode. Otherwise the trainers were amazing,General experience Sentiment,Neutral
3,5,5,I liked how beginner friendly the content was.,I think we could have used some brief info into the topics that will be discussed in the meetings so that we could have prepared better and have more questions to ask.,It would have been great to have our cameras on. And it would have been better if the presentations were given in full screen mode. Otherwise the trainers were amazing,How much relevant information did you get? Sentiment,Positive
3,5,5,I liked how beginner friendly the content was.,I think we could have used some brief info into the topics that will be discussed in the meetings so that we could have prepared better and have more questions to ask.,It would have been great to have our cameras on. And it would have been better if the presentations were given in full screen mode. Otherwise the trainers were amazing,How likely are you to recommend other trainees to join? Sentiment,Positive
3,5,5,I liked meeting with the different instructors and learning about their experiences. I enjoyed learning about new technologies and frameworks and career paths that I can take one day. I liked that we were taught by industry professionals so they knew a lot about the field and gave us very good advice,I did not enjoy at times how fast paced we moved. A lot of things remained unclear and further research needed to be done to clear up some things.,I wish we had more time to understand the projects that we were going to work on but I like the hands on training approach,General experience Sentiment,Neutral
3,5,5,I liked meeting with the different instructors and learning about their experiences. I enjoyed learning about new technologies and frameworks and career paths that I can take one day. I liked that we were taught by industry professionals so they knew a lot about the field and gave us very good advice,I did not enjoy at times how fast paced we moved. A lot of things remained unclear and further research needed to be done to clear up some things.,I wish we had more time to understand the projects that we were going to work on but I like the hands on training approach,How much relevant information did you get? Sentiment,Positive
3,5,5,I liked meeting with the different instructors and learning about their experiences. I enjoyed learning about new technologies and frameworks and career paths that I can take one day. I liked that we were taught by industry professionals so they knew a lot about the field and gave us very good advice,I did not enjoy at times how fast paced we moved. A lot of things remained unclear and further research needed to be done to clear up some things.,I wish we had more time to understand the projects that we were going to work on but I like the hands on training approach,How likely are you to recommend other trainees to join? Sentiment,Positive
