Id,Start time,Completion time,Email,How do you rate your general experience?.Rating,"In a single sentence, what did you like most when sharing your experience?","In a single sentence, what did you least liked about the session?",What things you wish were added/ removed from the sessions?,Was the training time convenient for you (the duration and the starting time)?,How likely are you to recommend other trainers to volunteer and share their journey?.Rating
1,6/30/2025 19:24,6/30/2025 19:27,anonymous,Excellent,The student engagement and eagerness to learn ,Nothing to be honest ,I could not any for the time being ,Yes,Very likely
2,6/30/2025 23:39,6/30/2025 23:41,anonymous,Good,That I wasn’t the one talking ,Rather than a Q&A if there would be some type of why where the audience could participate ,I think I would add something or someway that the audience could participate more ,Yes,Very likely
3,7/1/2025 0:09,7/1/2025 0:11,anonymous,Excellent,The questions I received about them. ,N/A,Maybe having people turn on their cameras. ,Yes,Very likely
4,7/1/2025 3:54,7/1/2025 4:01,anonymous,Good,The flow of discussion and the question prepared ,Less interaction with the audience (students); better to encourage students to ask questions ,Well informing the trainer to prepare on the general questions. I mean not to give only personal experience but general overview ,Yes,Somewhat likely
5,7/1/2025 4:28,7/1/2025 4:31,anonymous,Excellent,"The stusents were very curious and eager to learn. I knew this because many students  reach me through LinkedIn , telegram asking some quest7",Nothing ,If they have more inperson sessions to feel the energy of the session. ,Yes,Very likely
6,7/1/2025 7:33,7/1/2025 7:35,anonymous,Excellent,It felt authentic and not too formal. ,There was less interaction from the highschoolers. ,Nothing to add. ,Yes,Very likely
7,7/1/2025 10:47,7/1/2025 10:50,anonymous,Excellent,It was a good discussion with the organizer and the students.,"Nothing, that came to my mind.",It's good. I liked that you asked me to suggest a question for the next guest that was fun.,Yes,Somewhat likely
8,7/1/2025 11:26,7/1/2025 11:29,anonymous,Excellent,The Energy and the passion that I have seen when we start the lesson ,The time was short and can't able to address what I want to adress ,Time,Yes,Very likely
9,7/1/2025 11:58,7/1/2025 12:01,anonymous,Good,Happy to share and understand someone can learn from me.,It was very engaging. ,Wish I brought better ideas,Yes,Very likely
10,7/1/2025 12:22,7/1/2025 12:24,anonymous,Excellent,How attentive everyone was.,nothing everything was great.,i hope more students participated.,Yes,Very likely
11,7/1/2025 18:36,7/1/2025 18:39,anonymous,Good,Students were actively participating. ,Timing of the class was a bit uncomfortable. ,More engagement from the participating audience would be much helpful.,Yes,Somewhat likely
12,7/1/2025 23:41,7/1/2025 23:56,anonymous,Good,I enjoyed sharing my graduate school experience because it allowed me to reflect on my growth and hopefully encourage others on a similar path.,I would have appreciated more engagement or questions from the audience during the session.,"I don’t think anything needed to be removed, but I do wish the trainees had asked more questions to make the session more interactive. ",Yes,Very likely
27,10/14/2024 15:03,10/14/2024 15:05,anonymous,Good,The questions raised by Anteneh were critical to the audience.,Trainings should be engaging. So giving a chance to the students to speak makes them heared. Rather than asking them to write.,Nothing ,Yes,Very likely
28,10/15/2024 15:42,10/15/2024 15:45,anonymous,Excellent,What I liked most about sharing my experience was the opportunity to engage with others and contribute to meaningful discussions.,There was nothing I particularly disliked about the training; it was well-structured and engaging throughout.,"The training was comprehensive, and I believe it covered everything necessary without needing any additions or removals.",Yes,Very likely
29,10/26/2024 22:56,10/26/2024 22:58,anonymous,Good,The opportunity itself is great.,My own setup was not amazing.,Wish I could see people’s reactions.,Yes,Very likely
